DEPTO,PERIODO,PIB,AGRI,PetrMinas,MANUF,ELEC,CONSTR,COMER
LA PAZ,2015,7.83,2.28,10.32,4.49,5.68,6.97,4.47
LA PAZ,2016,5.51,2.39,-0.49,6.55,4.85,6.81,4.82
LA PAZ,2017,6.10,3.76,29.47,2.32,3.75,8.16,7.26
LA PAZ,2018,4.52,3.74,-0.32,5.69,3.11,3.27,4.08
LA PAZ,2019,3.21,4.09,5.36,3.87,3.50,-2.76,3.21
LA PAZ,2020,-11.06,3.09,-24.32,-14.58,-4.73,-6.83,-9.08
LA PAZ,2021,5.29,-3.35,38.94,2.78,8.24,19.85,8.32
LA PAZ,2022,4.80,2.34,7.72,2.24,4.33,4.71,5.48
LA PAZ,2023,2.23,-4.84,-10.82,2.64,6.17,1.22,1.45
CBBA,2015,6.05,4.37,-6.30,5.10,7.01,4.75,4.57
CBBA,2016,5.54,4.43,-4.63,7.09,4.93,10.46,6.13
CBBA,2017,2.25,5.93,-7.49,-1.68,4.74,2.46,2.83
CBBA,2018,5.98,5.68,-3.03,7.94,2.64,5.84,7.88
CBBA,2019,2.04,4.94,-8.44,-0.15,3.67,5.08,2.64
CBBA,2020,-9.69,-1.71,-19.64,-8.68,-6.15,-13.06,-4.32
CBBA,2021,4.32,1.54,-17.05,4.09,6.01,10.63,6.30
CBBA,2022,5.85,2.97,9.81,0.72,4.88,6.31,6.32
CBBA,2023,2.83,0.42,7.92,-0.71,6.13,5.00,2.04
SCZ,2015,5.20,7.11,-7.91,4.69,7.48,6.71,4.24
SCZ,2016,6.64,3.77,6.81,6.36,6.37,21.77,5.53
SCZ,2017,6.72,10.87,1.61,7.04,4.57,9.02,5.32
SCZ,2018,5.80,8.54,-2.04,5.60,4.04,3.74,7.21
SCZ,2019,4.15,7.04,-9.88,5.37,2.57,0.18,6.67
SCZ,2020,-4.10,4.04,-14.92,-1.29,1.50,-22.74,-1.75
SCZ,2021,5.74,3.03,9.83,4.20,5.52,28.93,1.77
SCZ,2022,4.25,4.13,-2.90,2.56,8.95,4.32,4.64
SCZ,2023,3.71,4.15,-8.25,1.82,8.77,5.50,4.35
